ID,DESCRIPTION,FEATURES,IMAGES,NAME,SLUG,SUMMARY,BRAND_ID,CATEGORY_ID,STATUS,ACTIVE,DISCOUNT
1,"iPhone là dòng điện thoại thông minh do hãng Apple sản xuất, nổi tiếng với thiết kế sang trọng và tính năng đa dạng. iPhone được trang bị hệ điều hành iOS, cung cấp trải nghiệm mượt mà và an toàn cho người dùng. Điểm nổi bật của iPhone là tích hợp nhiều dịch vụ tiện ích như App Store, cho phép người dùng tải xuống hàng ngàn ứng dụng và trò chơi. Camera chất lượng cao trên iPhone cũng cho phép bạn chụp ảnh và quay video với độ nét và màu sắc tuyệt vời.","[""Di động và tiện lợi"",""Kết nối đa dạng"",""Pin trâu, hiệu suất mạnh mẽ""]","[""https://lh3.googleusercontent.com/Eo1G2ENRv9NYBXCL6tvyZtWnLmluUEyhAT5lvm5X3dSpzG0baTXjdJFanNzUWILSA6Q3VnVPRyw34umvbtEBHEk7LPpm101I=w1000-rw""]",Vivobook Pro,vivobook-pro,"Máy tính xách tay giúp bạn làm việc từ xa, xem phim, chơi game và duyệt web một cách tiện lợi và linh hoạt.",5,5,STOP_SELLING,1,46
2,"iPhone không chỉ là một chiếc điện thoại thông minh, mà còn là một trung tâm giải trí di động. Bạn có thể nghe nhạc, xem phim, đọc sách và thậm chí là làm việc trên iPhone. Giao diện người dùng thân thiện và các tính năng như Siri giúp tương tác dễ dàng và tự nhiên với thiết bị.","[""Di động và tiện lợi"",""Kết nối đa dạng"",""Pin trâu, hiệu suất mạnh mẽ""]","[""https://lh3.googleusercontent.com/wew0Z42C4jguqw3oudy4o0izMn1rTB3zAVSDXYILvd0OKyOq2zt2UIj4z94CpHAh0CX1Ehc4XFJ-XGSWmeU=w1000-rw""]",ROG Theta 7.1,rog-theta-7-1,"iPhone là một loại điện thoại thông minh được sản xuất bởi Apple, với hệ điều hành iOS và nhiều tính năng độc đáo như Face ID và App Store.",8,8,NEW,1,
3,,"[""Di động và tiện lợi"",""Kết nối đa dạng"",""Pin trâu, hiệu suất mạnh mẽ""]","[""https://lh3.googleusercontent.com/L8TvYv3WTqIKTvrqpwjbSRN4iZ9m483k363UfbOR88wC2WYOvwd1es33b3ctL_0ZKv1NGYv75cN4TB6zJ4h-au7L1ZNtnJk7=w1000-rw""]",M22f,m22f,"Khả năng xử lý mạnh mẽ, dung lượng lưu trữ lớn và khả năng kết nối đa dạng là những đặc điểm nổi bật của laptop hiện đại.",2,2,,1,37
4,,"[""Di động và tiện lợi"",""Kết nối đa dạng"",""Pin trâu, hiệu suất mạnh mẽ""]","[""https://lh3.googleusercontent.com/0Q0lMqKR7EDq6as_tAt0muqPXPxUMdIhQ91c9QUCHRZiE4JTJRISEGfAxxz7DucQpiokqAZOjTpHn5pm5KO-zUKhnWDwppFL=w1000-rw""]",Pavilion 15-eg2035TX,pavilion-15-eg2035tx,"Máy tính xách tay là thiết bị di động hữu ích cho công việc và giải trí, thường được trang bị màn hình rộng và bàn phím tiện lợi.",2,2,,0,
5,"Máy tính xách tay đã thay đổi cách chúng ta làm việc và giải trí. Với khả năng xử lý mạnh mẽ và dung lượng lưu trữ lớn, laptop cho phép bạn thực hiện nhiều tác vụ khác nhau như xem video, chỉnh sửa hình ảnh, viết bài và thậm chí là chơi game. Khả năng kết nối Wi-Fi và Bluetooth cũng giúp bạn duyệt web và kết nối với các thiết bị ngoại vi một cách thuận tiện.","[""Di động và tiện lợi"",""Kết nối đa dạng"",""Pin trâu, hiệu suất mạnh mẽ""]","[""https://lh3.googleusercontent.com/3JFqgn1gigjmEFwG5nH6sICKnZRPHHAnMWoVRKyi2DQzb2zhihFENtO3pxAnx39EpkcPzRlGrEtB9pnKAIsMLW4Ax22OSzqtDQ=w500-rw""]",GF63,gf63,"Máy tính xách tay giúp bạn làm việc từ xa, xem phim, chơi game và duyệt web một cách tiện lợi và linh hoạt.",2,2,NEW,1,5
6,"iPhone là dòng điện thoại thông minh do hãng Apple sản xuất, nổi tiếng với thiết kế sang trọng và tính năng đa dạng. iPhone được trang bị hệ điều hành iOS, cung cấp trải nghiệm mượt mà và an toàn cho người dùng. Điểm nổi bật của iPhone là tích hợp nhiều dịch vụ tiện ích như App Store, cho phép người dùng tải xuống hàng ngàn ứng dụng và trò chơi. Camera chất lượng cao trên iPhone cũng cho phép bạn chụp ảnh và quay video với độ nét và màu sắc tuyệt vời.","[""Di động và tiện lợi"",""Kết nối đa dạng"",""Pin trâu, hiệu suất mạnh mẽ""]","[""https://lh3.googleusercontent.com/Jsg6-adZeI1TZnmeIT8Tpal63lIr4tLji5QjZaOWJjjXPY1blN5K9cG1MWkI7LesQj-8Xw80MVRBQwXWd9fs-kC03cyFCxo=w1000-rw""]",Nitro 5,nitro-5,"iPhone là một loại điện thoại thông minh được sản xuất bởi Apple, với hệ điều hành iOS và nhiều tính năng độc đáo như Face ID và App Store.",9,9,,1,19
7,"Máy tính xách tay đã trở thành một phần quan trọng trong cuộc sống hiện đại, giúp con người tiếp cận công việc và giải trí mọi lúc, mọi nơi. Laptop thường được trang bị các cổng kết nối đa dạng như USB, HDMI và cả cổng âm thanh, giúp bạn dễ dàng kết nối với các thiết bị khác như máy chiếu, loa ngoài và ổ cứng di động.","[""Di động và tiện lợi"",""Kết nối đa dạng"",""Pin trâu, hiệu suất mạnh mẽ""]","[""https://lh3.googleusercontent.com/gSrWIS9UgJSNzTol3MosdGTaToTZWnh5tl46X3ir4ny4rEk6vXxn-gcJ6IEo5WRs917dDSR0-4TNMK2BWZtPgYqYwVzsmss=w1000-rw""]",Macbook Air M1,macbook-air-m1,"Thiết kế sang trọng, camera chất lượng cao và tích hợp các dịch vụ trực tuyến, iPhone là một cỗ máy đa năng trong túi bạn.",2,2,,1,
8,"iPhone không chỉ là một chiếc điện thoại thông minh, mà còn là một trung tâm giải trí di động. Bạn có thể nghe nhạc, xem phim, đọc sách và thậm chí là làm việc trên iPhone. Giao diện người dùng thân thiện và các tính năng như Siri giúp tương tác dễ dàng và tự nhiên với thiết bị.","[""Di động và tiện lợi"",""Kết nối đa dạng"",""Pin trâu, hiệu suất mạnh mẽ""]","[""https://lh3.googleusercontent.com/EbLo9fFCx8OcgWr8dxP1ulnB96POm_d1PD6R3DLv30MFjoLR_J19oN10Mhg-Wyqbsq6FBYkybx6MIEPwfY3E0av5d74WZ2w0=w1000-rw""]",iPhone 14 Pro Max,iphone-14-pro-max,"Máy tính xách tay là thiết bị di động hữu ích cho công việc và giải trí, thường được trang bị màn hình rộng và bàn phím tiện lợi.",6,6,,1,
9,,"[""Di động và tiện lợi"",""Kết nối đa dạng"",""Pin trâu, hiệu suất mạnh mẽ""]","[""https://lh3.googleusercontent.com/gSrWIS9UgJSNzTol3MosdGTaToTZWnh5tl46X3ir4ny4rEk6vXxn-gcJ6IEo5WRs917dDSR0-4TNMK2BWZtPgYqYwVzsmss=w1000-rw""]",Macbook Pro M2,macbook-pro-m2,"Máy tính xách tay giúp bạn làm việc từ xa, xem phim, chơi game và duyệt web một cách tiện lợi và linh hoạt.",9,9,STOP_SELLING,1,13
10,"Máy tính xách tay đã thay đổi cách chúng ta làm việc và giải trí. Với khả năng xử lý mạnh mẽ và dung lượng lưu trữ lớn, laptop cho phép bạn thực hiện nhiều tác vụ khác nhau như xem video, chỉnh sửa hình ảnh, viết bài và thậm chí là chơi game. Khả năng kết nối Wi-Fi và Bluetooth cũng giúp bạn duyệt web và kết nối với các thiết bị ngoại vi một cách thuận tiện.","[""Di động và tiện lợi"",""Kết nối đa dạng"",""Pin trâu, hiệu suất mạnh mẽ""]","[""https://lh3.googleusercontent.com/N6Z7HuCnJBk0rVTvzsX4mChnt2e-YPluZ-Y9EoB-vmYr3vkvqWWOuRqTczwWsiQxB9qMORptWTAi9U4cFPp1_kKH2-MfuJYY=w1000-rw""]",ROG Strix G15 1,rog-strix-g15-1,"Thiết kế sang trọng, camera chất lượng cao và tích hợp các dịch vụ trực tuyến, iPhone là một cỗ máy đa năng trong túi bạn.",4,4,,0,12
11,"Máy tính xách tay, thường gọi tắt là laptop, là một loại thiết bị điện tử có thể mang theo dễ dàng. Laptop thường được sử dụng cho công việc và giải trí, với khả năng xử lý tốt và hiển thị đẹp. Màn hình rộng và bàn phím tiện lợi giúp người dùng làm việc và trải nghiệm giải trí một cách thoải mái. Ngoài ra, laptop còn có khả năng kết nối Internet và các thiết bị khác, tạo nên một công cụ đa năng và linh hoạt.","[""Di động và tiện lợi"",""Kết nối đa dạng"",""Pin trâu, hiệu suất mạnh mẽ""]","[""https://lh3.googleusercontent.com/4Xc3fZhZ9Zgm8RNvVDNJBGN6Y4jL3mpJWnkKTwV9Cj7HHW4WShNTjTeabkzGDwQNcJmy_fOnlWfpzTLQEu9qd6a2FRbUwzTNFw=w1000-rw""]",ROG Phone 7,rog-phone-7,"Khả năng xử lý mạnh mẽ, dung lượng lưu trữ lớn và khả năng kết nối đa dạng là những đặc điểm nổi bật của laptop hiện đại.",4,4,,1,
12,,"[""Di động và tiện lợi"",""Kết nối đa dạng"",""Pin trâu, hiệu suất mạnh mẽ""]","[""https://lh3.googleusercontent.com/ddlXG183z3vgu7TRHHfIht5_i5KOD5m8lxrfza7MNBOGfG7nylHs0lBjoKv9n11KAILazAm28cOwcONqYfNJVk2WkKRPf2vH=w1000-rw""]",Think X1 Nano Gen 2,think-x1-nano-gen-2,"Máy tính xách tay là thiết bị di động hữu ích cho công việc và giải trí, thường được trang bị màn hình rộng và bàn phím tiện lợi.",3,3,NEW,1,
13,,"[""Di động và tiện lợi"",""Kết nối đa dạng"",""Pin trâu, hiệu suất mạnh mẽ""]","[""https://lh3.googleusercontent.com/ptO5jTnRkc8dP3Y5mv17bTNg6OmKyziIfOFTj_ZPq_A2zfuy6czAkcXNq8pThQuMIvLopweRfle4g9DenbxYHGPgEla6yrAKQw=w1000-rw""]",Aspire 7,aspire-7,"Khả năng xử lý mạnh mẽ, dung lượng lưu trữ lớn và khả năng kết nối đa dạng là những đặc điểm nổi bật của laptop hiện đại.",3,3,,0,30
14,,"[""Di động và tiện lợi"",""Kết nối đa dạng"",""Pin trâu, hiệu suất mạnh mẽ""]","[""https://lh3.googleusercontent.com/bfMEAqLupCvcpKtMN39DDpJwAQxHTBmIq6Mh0zvT6x973O-4lBWC4B2BG7L4X-CvB4MB9qspgCRzSGrrtTI01jhuFXT1JppDkA=w1000-rw""]",Votros 5620,vostros-5620,"iPhone là một loại điện thoại thông minh được sản xuất bởi Apple, với hệ điều hành iOS và nhiều tính năng độc đáo như Face ID và App Store.",1,1,STOP_SELLING,1,23
15,,"[""Di động và tiện lợi"",""Kết nối đa dạng"",""Pin trâu, hiệu suất mạnh mẽ""]","[""https://lh3.googleusercontent.com/_CqktMqtQd1GcYrGx_t3mzSCB8Wr7OCbYjsCfYkd3YYXWYQcGBZF4Y_hBUEIcVjoKUra32b-pDLQmz8QGKehHx-Kv4Fr50so=w1000-rw""]",Inspiron 15,inspiron-15,"iPhone là một loại điện thoại thông minh được sản xuất bởi Apple, với hệ điều hành iOS và nhiều tính năng độc đáo như Face ID và App Store.",2,2,,1,5
16,"Máy tính xách tay, thường gọi tắt là laptop, là một loại thiết bị điện tử có thể mang theo dễ dàng. Laptop thường được sử dụng cho công việc và giải trí, với khả năng xử lý tốt và hiển thị đẹp. Màn hình rộng và bàn phím tiện lợi giúp người dùng làm việc và trải nghiệm giải trí một cách thoải mái. Ngoài ra, laptop còn có khả năng kết nối Internet và các thiết bị khác, tạo nên một công cụ đa năng và linh hoạt.","[""Di động và tiện lợi"",""Kết nối đa dạng"",""Pin trâu, hiệu suất mạnh mẽ""]","[""https://lh3.googleusercontent.com/WlvgoTJHhQx6sDMFdWGuEdbrbnJUBTAOJn2RC9_bxqEi2uj_aG7ij3e0s9pC3io6U8BDWunGaxmQdCt7WA4GP_p1W7HECGVkgQ=w1000-rw""]",ExpertBook B5,expertbook-b5,"Thiết kế sang trọng, camera chất lượng cao và tích hợp các dịch vụ trực tuyến, iPhone là một cỗ máy đa năng trong túi bạn.",1,1,,0,19
17,"Máy tính xách tay đã trở thành một phần quan trọng trong cuộc sống hiện đại, giúp con người tiếp cận công việc và giải trí mọi lúc, mọi nơi. Laptop thường được trang bị các cổng kết nối đa dạng như USB, HDMI và cả cổng âm thanh, giúp bạn dễ dàng kết nối với các thiết bị khác như máy chiếu, loa ngoài và ổ cứng di động.","[""Di động và tiện lợi"",""Kết nối đa dạng"",""Pin trâu, hiệu suất mạnh mẽ""]","[""https://lh3.googleusercontent.com/qtHHWWpJ5RcfIPsyRTTOiIhQdQnkQiZH8WbzdfP5OhMXTui5OKoY8-ZD-q3MZaEftlQDJy6HLQSnED-jePaiWQSk2Uj7FeQT=w1000-rw""]",TUF Gaming,tuf-gaming,"Khả năng xử lý mạnh mẽ, dung lượng lưu trữ lớn và khả năng kết nối đa dạng là những đặc điểm nổi bật của laptop hiện đại.",1,1,NEW,1,
18,,"[""Di động và tiện lợi"",""Kết nối đa dạng"",""Pin trâu, hiệu suất mạnh mẽ""]","[""https://lh3.googleusercontent.com/C0iFdblbVcX1RR99ymRi_IaDEedowGBxqmAXTM3eTVZxa0TpR6QA-7va2hlLj50aS5mS2u9NVXx_zgQlYAI43617DVbkFiw=w1000-rw""]",Vivobook 15,vivobook-15,"Thiết kế sang trọng, camera chất lượng cao và tích hợp các dịch vụ trực tuyến, iPhone là một cỗ máy đa năng trong túi bạn.",7,7,,1,
19,"Máy tính xách tay, thường gọi tắt là laptop, là một loại thiết bị điện tử có thể mang theo dễ dàng. Laptop thường được sử dụng cho công việc và giải trí, với khả năng xử lý tốt và hiển thị đẹp. Màn hình rộng và bàn phím tiện lợi giúp người dùng làm việc và trải nghiệm giải trí một cách thoải mái. Ngoài ra, laptop còn có khả năng kết nối Internet và các thiết bị khác, tạo nên một công cụ đa năng và linh hoạt.","[""Di động và tiện lợi"",""Kết nối đa dạng"",""Pin trâu, hiệu suất mạnh mẽ""]","[""https://lh3.googleusercontent.com/SSw3Ad8N232-nANCqPvpG_9EEgkOsdPpFTKeq4NVg2tE4ELRxb5U0Yt7KRmSC8k1HIkQluK3tqBGY5cyvIAkkhRTjQba0F3YrA=w1000-rw""]",Zenbook 14,zenbook-14,"Máy tính xách tay là thiết bị di động hữu ích cho công việc và giải trí, thường được trang bị màn hình rộng và bàn phím tiện lợi.",10,3,STOP_SELLING,1,
20,,"[""Di động và tiện lợi"",""Kết nối đa dạng"",""Pin trâu, hiệu suất mạnh mẽ""]","[""https://lh3.googleusercontent.com/N6Z7HuCnJBk0rVTvzsX4mChnt2e-YPluZ-Y9EoB-vmYr3vkvqWWOuRqTczwWsiQxB9qMORptWTAi9U4cFPp1_kKH2-MfuJYY=w1000-rw""]",ROG Strix G15 2,rog-strix-g15-2,"Máy tính xách tay giúp bạn làm việc từ xa, xem phim, chơi game và duyệt web một cách tiện lợi và linh hoạt.",10,1,NEW,0,
